Name,Set,Types,Cost,Text,Actions / Villagers,Cards,Buys,Coins / Coffers,Trash / Return,Exile,Junk,Gain,Victory Points
Remodel ,Base ,Action,,Trash a card from your hand. Gain a card costing up to more than it.,,,,,1,,, !1,
Smithy ,Base ,Action,,+3 Cards,,3,,,,,,,
Spy ,"Base, 1E ",Action - Attack,,+1 Card,1,1,,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"Each player (including you) reveals the top card of his deck and either discards it or puts it back, your choice.",,,,,,,,,
Thief ,"Base, 1E ",Action - Attack,,Each other player reveals the top 2 cards of his deck.,,,,,,,,X,
,,,,"If they revealed any Treasure cards, they trash one of them that you choose. You may gain any or all of these trashed cards. They discard the other revealed cards.",,,,,,,,,
Throne Room ,Base ,Action,,You may play an Action card from your hand twice.,P2?,,,,,,,,
Bandit ,"Base, 2E ",Action - Attack,,"Gain a Gold. Each other player reveals the top 2 cards of their deck, trashes a revealed Treasure other than Copper, and discards the rest.",,,,,,,,1,
Council Room ,Base ,Action,,+4 Cards,,4,1,,,,,,
,,,,+1 Buy,,,,,,,,,
,,,,Each other player draws a card.,,,,,,,,,
Festival ,Base ,Action,,+2 Actions,2,,1,+,,,,,
,,,,+1 Buy,,,,,,,,,
,,,,+,,,,,,,,,
Laboratory ,Base ,Action,,+2 Cards,1,2,,,,,,,
,,,,+1 Action,,,,,,,,,
Library ,Base ,Action,,"Draw until you have 7 cards in hand, skipping any Action cards you choose to; set those aside, discarding them afterwards.",,7,,,,,,,
Market ,Base ,Action,,+1 Card,1,1,1,+,,,,,
,,,,+1 Action,,,,,,,,,
,,,,+1 Buy,,,,,,,,,
,,,,+,,,,,,,,,
Mine ,Base ,Action,,You may trash a Treasure card from your hand. Gain a Treasure card to your hand costing up to more than it.,, !(+1),,,1?,,, !1,
Sentry ,"Base, 2E ",Action,,+1 Card,1,1,,,0-2?,,,,
,,,,+1 Action,,,,,,,,,
,,,,Look at the top 2 cards of your deck. Trash and/or discard any number of them. Put the rest back on top in any order.,,,,,,,,,
Witch ,Base ,Action - Attack,,+2 Cards,,2,,,,,1,,
,,,,Each other player gains a Curse.,,,,,,,,,
Adventurer ,"Base, 1E ",Action,,Reveal cards from your deck until you reveal 2 Treasure cards. Put those Treasure cards into your hand and discard the other revealed cards.,,2,,,,,,,
Artisan ,"Base, 2E ",Action,,Gain a card to your hand costing up to .,,"(+1), -1",,,,,,1,
,,,,Put a card from your hand onto your deck.,,,,,,,,,
Copper ,Base ,Treasure,,,,,,+,,,,,
Silver ,Base ,Treasure,,,,,,+,,,,,
Gold ,Base ,Treasure,,,,,,+,,,,,
Estate ,Base ,Victory,,1   ,,,,,,,,,1   
Duchy ,Base ,Victory,,3   ,,,,,,,,,3   
Province ,Base ,Victory,,6   ,,,,,,,,,6   
Curse ,Base ,Curse,,-1   ,,,,,,,,,-1   
Courtyard ,Intrigue ,Action,,+3 Cards,,"+3, -1",,,,,,,
,,,,Put a card from your hand onto your deck.,,,,,,,,,
Lurker ,"Intrigue, 2E ",Action,,+1 Action,1,,,,1 Supply?,,,1?,
,,,,Choose one: Trash an Action card from the Supply; or gain an Action card from the trash.,,,,,,,,,
Pawn ,Intrigue ,Action,,Choose two: +1 Card; +1 Action; +1 Buy; +. The choices must be different.,+1?,+1?,+1?,+?,,,,,
Secret Chamber ,"Intrigue, 1E ",Action - Reaction,,Discard any number of cards. + per card discarded.,,-X,,+,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When another player plays an Attack card, you may reveal this from your hand. If you do, +2 Cards, then put 2 cards from your hand on top of your deck.",,,,,,,,,
Great Hall ,"Intrigue, 1E ",Action - Victory,,+1 Card,1,1,,,,,,,1   
,,,,+1 Action,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,1   ,,,,,,,,,
Masquerade ,Intrigue ,Action,,+2 Cards,,"+2, -1",,,1?,,"1?, !Self",1,
,,,,"Each player with any cards in hand passes one to the next such player to their left, at once. Then you may trash a card from your hand.",,,,,,,,,
Shanty Town ,Intrigue ,Action,,+2 Actions,2,+2?,,,,,,,
,,,,"Reveal your hand. If you have no Action cards in hand, +2 Cards.",,,,,,,,,
Steward ,Intrigue ,Action,,Choose one: +2 Cards; or +; or trash 2 cards from your hand.,,+2?,,+?,2?,,,,
Swindler ,Intrigue ,Action - Attack,,+,,,,+,,, !1,,
,,,,Each other player trashes the top card of their deck and gains a card with the same cost that you choose.,,,,,,,,,
Wishing Well ,Intrigue ,Action,,+1 Card,1,"+1, !+1",,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"Name a card, then reveal the top card of your deck. If you named it, put it into your hand.",,,,,,,,,
Baron ,Intrigue ,Action,,+1 Buy,,-1?,1, !+,,,, !1,
,,,,"You may discard an Estate for +. If you don't, gain an Estate.",,,,,,,,,
Bridge ,Intrigue ,Action,,+1 Buy,,,1,"+, R1",,,,,
,,,,+,,,,,,,,,
,,,,"This turn, cards (everywhere) cost less, but not less than .",,,,,,,,,
Conspirator ,Intrigue ,Action,,+, !+1, !+1,,+,,,,,
,,,,"If you’ve played 3 or more Actions this turn (counting this), +1 Card and +1 Action.",,,,,,,,,
Coppersmith ,"Intrigue, 1E ",Action,,Copper produces an extra this turn.,,,,+,,,,,
Diplomat ,"Intrigue, 2E ",Action - Reaction,,+2 Cards, !+2,2,,,,,,,
,,,,"If you have 5 or fewer cards in hand (after drawing), +2 Actions.",,"**+2, **-3",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When another player plays an Attack card, you may first reveal this from a hand of 5 or more cards, to draw 2 cards then discard 3.",,,,,,,,,
Ironworks ,Intrigue ,Action,,Gain a card costing up to . If the gained card is an..., !+1, !+1,, !+,,,,1,
,,,,"Action card, +1 Action",,,,,,,,,
,,,,"Treasure card, +",,,,,,,,,
,,,,"Victory card, +1 Card",,,,,,,,,
Mill ,"Intrigue, 2E ",Action - Victory,,+1 Card,1,"+1, - 0-2?(X)",, !+,,,,,1   
,,,,+1 Action,,,,,,,,,
,,,,"You may discard 2 cards, for +",,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,1   ,,,,,,,,,
Mining Village ,Intrigue ,Action,,+1 Card,2,1,, !+,Self?,,,,
,,,,+2 Actions,,,,,,,,,
,,,,You may trash this for +.,,,,,,,,,
Scout ,"Intrigue, 1E ",Action,,+1 Action,1,+ 0-4,,,,,,,
,,,,Reveal the top 4 cards of your deck. Put the revealed Victory cards into your hand. Put the other cards on top of your deck in any order.,,,,,,,,,
Secret Passage ,"Intrigue, 2E ",Action,,+2 Cards,1,"+2, -1",,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,Take a card from your hand and put it anywhere in your deck.,,,,,,,,,
Courtier ,"Intrigue, 2E ",Action,,"Reveal a card from your hand. For each type it has (Action, Attack, etc.), choose one: +1 Action; or +1 Buy; or +; or gain a Gold. The choices must be different.",+1?,,+1?,+?,,,,1?,
Duke ,Intrigue ,Victory,,Worth 1   per Duchy you have. ,,,,,,,,,X   
Minion ,Intrigue ,Action - Attack,,+1 Action,1,-X +4 ?,,+?,,,,,
,,,,"Choose one: +; or discard your hand, +4 Cards, and each other player with at least 5 cards in hand discards their hand and draws 4 cards.",,,,,,,,,
Patrol ,"Intrigue, 2E ",Action,,+3 Cards,,+ 3-7,,,,,,,
,,,,Reveal the top 4 cards of your deck. Put the Victory cards and Curses into your hand. Put the rest back in any order.,,,,,,,,,
Replace ,"Intrigue, 2E ",Action - Attack,,"Trash a card from your hand. Gain a card costing up to more than it. If the gained card is an Action or Treasure, put it onto your deck; if it's a Victory card, each other player gains a Curse.",,,,,1,, !1,1,
Saboteur ,"Intrigue, 1E ",Action - Attack,,Each other player reveals cards from the top of their deck until revealing one costing or more. They trash that card and may gain a card costing at most less than it. They discard the other revealed cards.,,,,,,, !1,,
Torturer ,Intrigue ,Action - Attack,,+3 Cards,,3,,,,,1?,,
,,,,"Each other player either discards 2 cards or gains a Curse to their hand, their choice. (They may pick an option they can't do.)",,,,,,,,,
Trading Post ,Intrigue ,Action,,"Trash 2 cards from your hand. If you did, gain a Silver to your hand.",, !(+1),,,2,,, !1,
Tribute ,"Intrigue, 1E ",Action,,"The player to your left reveals then discards the top 2 cards of his deck. For each differently named card revealed, if it is an...",+2Z,+2Y,,+,,,,,
,,,,"Action Card, +2 Actions",,,,,,,,,
,,,,"Treasure Card, +",,,,,,,,,
,,,,"Victory Card, +2 Cards.",,,,,,,,,
Upgrade ,Intrigue ,Action,,+1 Card,1,1,,,1,,,1,
,,,,+1 Action,,,,,,,,,
,,,,Trash a card from your hand. Gain a card costing exactly more than it.,,,,,,,,,
Harem ,Intrigue ,Treasure - Victory,,2   ,,,,+,,,,,2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Farm ,,,,,,,,,,,,,
Nobles ,Intrigue ,Action - Victory,,Choose one: +3 Cards; or +2 Actions.,+2?,+3?,,,,,,,2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,2   ,,,,,,,,,
Embargo ,"Seaside, 1E ",Action,,+,,,,+,Self,,**1?,,
,,,,"Trash this to add an Embargo token to a Supply pile. (For the rest of the game, when a player buys a card from that pile, they gain a Curse.)",,,,,,,,,
Haven ,Seaside ,Action - Duration,,+1 Card,1,"+1, -1, N +1",,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"Set aside a card from your hand face down (under this). At the start of your next turn, put it into your hand.",,,,,,,,,
Lighthouse ,Seaside ,Action - Duration,,+1 Action,1,,,"+, N +",,,,,
,,,,+,,,,,,,,,
,,,,At the start of your next turn: +.,,,,,,,,,
,,,,"Until then, when another player plays an Attack card, it doesn't affect you.",,,,,,,,,
Native Village ,Seaside ,Action,,+2 Actions,2,+X?,,,,,,,
,,,,Choose one: Put the top card of your deck face down on your Native Village mat (you may look at those cards at any time); or put all the cards from your mat into your hand.,,,,,,,,,
Pearl Diver ,"Seaside, 1E ",Action,,+1 Card,1,1,,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,Look at the bottom card of your deck. You may put it on top.,,,,,,,,,
Ambassador ,"Seaside, 1E ",Action - Attack,,Reveal a card from your hand. Return up to 2 copies of it from your hand to the Supply. Then each other player gains a copy of it.,,,,,0-2?,, !1,,
Astrolabe ,"Seaside, 2E ",Treasure - Duration,,Now and at the start of your next turn:,,,"+1, N +1","+, N +",,,,,
,,,,,,,,,,,,,
,,,,+1 Buy,,,,,,,,,
Fishing Village ,Seaside ,Action - Duration,,+2 Actions,"+2, N +1",,,"+, N +",,,,,
,,,,+,,,,,,,,,
,,,,At the start of your next turn: +1 Action and +.,,,,,,,,,
Lookout ,Seaside ,Action,,+1 Action,1,,,,1,,,,
,,,,Look at the top 3 cards of your deck. Trash one of them. Discard one of them. Put the other one back on top of your deck.,,,,,,,,,
Monkey ,"Seaside, 2E ",Action - Duration,,"Until your next turn, when the player to your right gains a card, +1 Card.",,"**+1, N +1",,,,,,,
,,,,"At the start of your next turn, +1 Card.",,,,,,,,,
Sea Chart ,"Seaside, 2E ",Action,,+1 Card,1,"+1, !+1",,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"Reveal the top card of your deck. If you have a copy of it in play, put it into your hand.",,,,,,,,,
Smugglers ,Seaside ,Action,,Gain a copy of a card costing up to that the player to your right gained on their last turn.,,,,,,,,1,
Warehouse ,Seaside ,Action,,+3 Cards,1,"+3, -3",,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,Discard 3 cards.,,,,,,,,,
Blockade ,"Seaside, 2E ",Action - Duration - Attack,,"Gain a card costing up to , setting it aside.",,N +1,,,,,**1?,1,
,,,,"At the start of your next turn, put it into your hand. While it's set aside, when another player gains a copy of it on their turn, they gain a Curse.",,,,,,,,,
Caravan ,Seaside ,Action - Duration,,+1 Card,1,"+1, N +1",,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"At the start of your next turn, +1 Card.",,,,,,,,,
Cutpurse ,Seaside ,Action - Attack,,+,,,,+,,,,,
,,,,Each other player discards a Copper (or reveals a hand with no Copper).,,,,,,,,,
Island ,Seaside ,Action - Victory,,Put this and a card from your hand onto your Island mat.,,,,,"1, Self",,,,2   
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,2   ,,,,,,,,,
Navigator ,"Seaside, 1E ",Action,,+,,,,+,,,,,
,,,,"Look at the top 5 cards of your deck. Either discard them all, or put them back in any order.",,,,,,,,,
Pirate Ship ,"Seaside, 1E ",Action - Attack,,"Choose one: + per Coin token on your Pirate Ship mat; or each other player reveals the top 2 cards of their deck, trashes one of those Treasures that you choose, and discards the rest, and then if anyone trashed a Treasure you add a Coin token to your Pirate Ship mat.",,,,+?,,,,,
Sailor ,"Seaside, 2E ",Action - Duration,,+1 Action,"+1, !P1?",,,N +,N 1?,,,,
,,,,"Once this turn, when you gain a Duration card, you may play it.",,,,,,,,,
,,,,"At the start of your next turn, + and you may trash a card from your hand.",,,,,,,,,
Salvager ,Seaside ,Action,,+1 Buy,,,1,+,1,,,,
,,,,Trash a card from your hand. + per it costs.,,,,,,,,,
Sea Hag ,"Seaside, 1E ",Action - Attack,,"Each other player discards the top card of their deck, then gains a Curse onto their deck.",,,,,,,1,,
Tide Pools ,"Seaside, 2E ",Action - Duration,,+3 Cards,1,"+3, N -2",,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"At the start of your next turn, discard 2 cards.",,,,,,,,,
Treasure Map ,Seaside ,Action,,"Trash this and a Treasure Map from your hand. If you trashed two Treasure Maps, gain 4 Golds onto your deck.",,,,,"1?, Self",,, !4,
Bazaar ,Seaside ,Action,,+1 Card,2,1,,+,,,,,
,,,,+2 Actions,,,,,,,,,
,,,,+,,,,,,,,,
Corsair ,"Seaside, 2E ",Action - Duration - Attack,,+,,N +1,,+,,,,,
,,,,"At the start of your next turn, +1 Card. Until then, each other player trashes the first Silver or Gold they play each turn.",,,,,,,,,
Explorer ,"Seaside, 1E ",Action,,"You may reveal a Province from your hand. If you do, gain a Gold to your hand. If you don't, gain a Silver to your hand.",, !(+1),,,,,, !1,
Ghost Ship ,"Seaside, 1E ",Action - Attack,,+2 Cards,,2,,,,,,,
,,,,Each other player with 4 or more cards in hand puts cards from their hand onto their deck until they have 3 cards in hand.,,,,,,,,,
Merchant Ship ,Seaside ,Action - Duration,,Now and at the start of your next turn: +.,,,,"+, N +",,,,,
Outpost ,Seaside ,Action - Duration,,"If this is the first time you played an Outpost this turn, and the previous turn wasn't yours, then take an extra turn after this one, and you only draw 3 cards for your next hand.",,,,,,,,,
Pirate ,"Seaside, 2E ",Action - Duration - Reaction,,"At the start of your next turn, gain a Treasure costing up to to your hand.",**Pself,N (+1),,,,,,N 1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When any player gains a Treasure, you may play this from your hand.",,,,,,,,,
Sea Witch ,"Seaside, 2E ",Action - Duration - Attack,,+2 Cards,,"+2, N +2, N -2",,,,,1,,
,,,,Each other player gains a Curse.,,,,,,,,,
,,,,"At the start of your next turn, +2 Cards, then discard 2 cards.",,,,,,,,,
Tactician ,Seaside ,Action - Duration,,"If you have at least one card in hand: Discard your hand, and at the start of your next turn, +5 Cards, +1 Action, and +1 Buy.", !N +1,"-X, !N +5", !N +1,,,,,,
Treasury ,Seaside ,Action,,+1 Card,1,1,,+,,,,,
,,,,+1 Action,,,,,,,,,
,,,,+,,,,,,,,,
,,,,"At the end of your Buy phase this turn, if you didn't gain a Victory card in it, you may put this onto your deck.",,,,,,,,,
Wharf ,Seaside ,Action - Duration,,Now and at the start of your next turn: +2 Cards and +1 Buy.,,"+2, N +2","+1, N +1",,,,,,
Transmute ,Alchemy ,Action,  ,Trash a card from your hand. If it is an...,,,,,1,,,1, !(3  ) 
,,,,"Action card, gain a Duchy",,,,,,,,,
,,,,"Treasure card, gain a Transmute",,,,,,,,,
,,,,"Victory card, gain a Gold",,,,,,,,,
Vineyard ,Alchemy ,Victory,  ,Worth 1   per 3 Action cards you have (round down). ,,,,,,,,,X   
Herbalist ,Alchemy ,Action,,+1 Buy,,,1,+,,,,,
,,,,+,,,,,,,,,
,,,,"Once this turn, when you discard a Treasure from play, you may put it onto your deck.",,,,,,,,,
Apothecary ,Alchemy ,Action,  ,+1 Card,1,+ 1-5,,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,Reveal the top 4 cards of your deck. Put the Coppers and Potions into your hand. Put the rest back in any order.,,,,,,,,,
Scrying Pool ,Alchemy ,Action - Attack,  ,+1 Action,1,+X,,,,,,,
,,,,"Each player (including you) reveals the top card of their deck and either discards it or puts it back, your choice. Then reveal cards from your deck until revealing one that isn’t an Action. Put all of those revealed cards into your hand.",,,,,,,,,
University ,Alchemy ,Action,  ,+2 Actions,2,,,,,,,1,
,,,,You may gain an Action card costing up to .,,,,,,,,,
Alchemist ,Alchemy ,Action,  ,+2 Cards,1,2,,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,"At the start of Clean-up this turn, if you have a Potion in play, you may put this onto your deck.",,,,,,,,,
Familiar ,Alchemy ,Action - Attack,  ,+1 Card,1,1,,,,,1,,
,,,,+1 Action,,,,,,,,,
,,,,Each other player gains a Curse.,,,,,,,,,
Philosopher's Stone ,Alchemy ,Treasure,  ,Count your deck and discard pile.,,,,+,,,,,
,,,,+ per 5 cards total between them (round down).,,,,,,,,,
Golem ,Alchemy ,Action,  ,"Reveal cards from your deck until you reveal 2 Action cards other than Golems. Discard the other cards, then play the Action cards in either order.","P1, P1",,,,,,,,
Apprentice ,Alchemy ,Action,,+1 Action,1,+X,,,1,,,,
,,,,Trash a card from your hand. +1 Card per it costs. +2 Cards if it has   in its cost. ,,,,,,,,,
Possession ,Alchemy ,Action,  ,"The player to your left takes an extra turn after this one, in which you can see all cards they can and make all decisions for them. Any cards or   they would gain on that turn, you gain instead; any cards of theirs that are trashed are set aside and put in their discard pile at end of turn. ",,,,,,,,X,
Potion ,Alchemy ,Treasure,,  ,,,,+  ,,,,,
Anvil ,"Prosperity, 2E ",Treasure,,,,-1?,,+,,,, !1,
,,,,You may discard a Treasure to gain a card costing up to .,,,,,,,,,
Loan ,"Prosperity, 1E ",Treasure,,,,,,+,1?,,,,
,,,,Reveal cards from your deck until you reveal a Treasure. Discard it or trash it. Discard the other cards.,,,,,,,,,
Trade Route ,"Prosperity, 1E ",Action,,+1 Buy,,,1,+,1,,,,
,,,,Trash a card from your hand. + per Coin token on the Trade Route mat.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,Setup: Add a Coin token to each Victory Supply pile; move that token to the Trade Route mat when a card is gained from that pile.,,,,,,,,,
Watchtower ,Prosperity ,Action - Reaction,,Draw until you have 6 cards in hand.,,6,,,**1?,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain a card, you may reveal this from your hand, to either trash that card or put it onto your deck.",,,,,,,,,
Bishop ,Prosperity ,Action,,+,,,,+,1,,,,"+1  , +X   "
,,,,+1  ,,,,,,,,,
,,,,Trash a card from your hand. +1   per it costs (round down). Each other player may trash a card from their hand. ,,,,,,,,,
Clerk ,"Prosperity, 2E ",Action - Reaction - Attack,,+,Pself,,,+,,,,,
,,,,Each other player with 5 or more cards in hand puts one onto their deck.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"At the start of your turn, you may play this from your hand.",,,,,,,,,
Investment ,"Prosperity, 2E ",Treasure,,Trash a card from your hand.,,,,+?,1,,,,+X  ? 
,,,,Choose one: +; or trash this to reveal your hand for +1   per differently named Treasure there. ,,,,,,,,,
Monument ,Prosperity ,Action,,+,,,,+,,,,,+1   
,,,,+1   ,,,,,,,,,
Quarry ,Prosperity ,Treasure,,,,,,"+, !R2",,,,,
,,,,"This turn, Actions cost less.",,,,,,,,,
Talisman ,"Prosperity, 1E ",Treasure,,"While you have this in play, when you buy a non-Victory card costing or less, gain a copy of it.",,,,+,,,, !1,
Tiara ,"Prosperity, 2E ",Treasure,,+1 Buy,,,1,P2?,,,,,
,,,,"This turn, when you gain a card, you may put it onto your deck.",,,,,,,,,
,,,,,,,,,,,,,
,,,,You may play a Treasure from your hand twice.,,,,,,,,,
Worker's Village ,Prosperity ,Action,,+1 Card,2,1,1,,,,,,
,,,,+2 Actions,,,,,,,,,
,,,,+1 Buy,,,,,,,,,
Charlatan ,"Prosperity, 2E ",Action - Attack,,+,,,,+,,,1,,
,,,,Each other player gains a Curse.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"In games using this, Curse is also a Treasure worth .",,,,,,,,,
City ,Prosperity ,Action,,+1 Card,2,"+1, !+1", !+1, !+,,,,,
,,,,+2 Actions,,,,,,,,,
,,,,"If there are one or more empty Supply piles, +1 Card. If there are two or more, +1 Buy and +",,,,,,,,,
Collection ,"Prosperity, 2E ",Treasure,,,,,1,+,,,,,+X   
,,,,+1 Buy,,,,,,,,,
,,,,"This turn, when you gain an Action card, +1  . ",,,,,,,,,
Contraband ,"Prosperity, 1E ",Treasure,,,,,1,+,,,,,
,,,,+1 Buy,,,,,,,,,
,,,,The player to your left names a card. You can’t buy that card this turn.,,,,,,,,,
Counting House ,"Prosperity, 1E ",Action,,"Look through your discard pile, reveal any number of Coppers from it, and put them into your hand.",,+X,,,,,,,
Crystal Ball ,"Prosperity, 2E ",Treasure,,, !P1?,,,"+, !P1?",1?,,,,
,,,,"Look at the top card of your deck. You may trash it, discard it, or, if it's an Action or Treasure, play it.",,,,,,,,,
Magnate ,"Prosperity, 2E ",Action,,Reveal your hand.,,+X,,,,,,,
,,,,+1 Card per Treasure in it.,,,,,,,,,
Mint ,Prosperity ,Action,,You may reveal a Treasure card from your hand. Gain a copy of it.,,,,,*X,,,1?,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"When you gain this, trash all non-Duration Treasures you have in play.",,,,,,,,,
Mountebank ,"Prosperity, 1E ",Action - Attack,,+,,,,+,,,2?,,
,,,,"Each other player may discard a Curse. If they don’t, they gain a Curse and a Copper.",,,,,,,,,
Rabble ,Prosperity ,Action - Attack,,+3 Cards,,3,,,,,,,
,,,,"Each other player reveals the top 3 cards of their deck, discards the revealed Actions and Treasures, and puts the rest back in any order they choose.",,,,,,,,,
Royal Seal ,"Prosperity, 1E ",Treasure,,"While you have this in play, when you gain a card, you may put that card onto your deck.",,,,+,,,,,
Vault ,Prosperity ,Action,,+2 Cards,,"+2, -X",,+,,,,,
,,,,"Discard any number of cards for + each. Each other player may discard 2 cards, to draw a card.",,,,,,,,,
Venture ,"Prosperity, 1E ",Treasure,,,,,,"+, P1",,,,,
,,,,Reveal cards from your deck until you reveal a Treasure. Discard the other cards. Play that Treasure.,,,,,,,,,
War Chest ,"Prosperity, 2E ",Treasure,,The player to your left names a card. Gain a card costing up to that hasn't been named for War Chest this turn.,,,,,,,,1,
Goons ,"Prosperity, 1E ",Action - Attack,,+1 Buy,,,1,+,,,,,+X   
,,,,+,,,,,,,,,
,,,,Each other player discards down to 3 cards in hand.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"While you have this in play, when you buy a card, +1  . ",,,,,,,,,
Grand Market ,Prosperity ,Action,,+1 Card,1,1,1,+,,,,,
,,,,+1 Action,,,,,,,,,
,,,,+1 Buy,,,,,,,,,
,,,,+.,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,You can’t buy this if you have any Coppers in play.,,,,,,,,,
Hoard ,Prosperity ,Treasure,,,,,,+,,,,X,
,,,,"This turn, when you gain a Victory card, if you bought it, gain a Gold.",,,,,,,,,
Bank ,Prosperity ,Treasure,,+ per Treasure card you have in play (counting this).,,,,+,,,,,
Expand ,Prosperity ,Action,,Trash a card from your hand. Gain a card costing up to more than it.,,,,,1,,,1,
Forge ,Prosperity ,Action,,Trash any number of cards from your hand. Gain a card with cost exactly equal to the total cost in of the trashed cards.,,,,,X,,,1,
King's Court ,Prosperity ,Action,,You may play an Action card from your hand three times.,P3?,,,,,,,,
Peddler ,Prosperity ,Action,,+1 Card,1,1,,"+, RXself",,,,,
,,,,+1 Action,,,,,,,,,
,,,,+,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,"During a player's Buy phase, this costs less per Action card they have in play.",,,,,,,,,
Platinum ,Prosperity ,Treasure,,,,,,+,,,,,
Colony ,Prosperity ,Victory,,10   ,,,,,,,,,10   
Hamlet ,Cornucopia ,Action,,+1 Card,"+1, !+1","+1, -2?", !+1,,,,,,
,,,,+1 Action,,,,,,,,,
,,,,You may discard a card for +1 Action. You may discard a card for +1 Buy.,,,,,,,,,
Fortune Teller ,"Cornucopia, 1E ",Action - Attack,,+,,,,+,,,,,
,,,,Each other player reveals cards from the top of their deck until they reveal a Victory card or a Curse. They put it on top and discard the rest.,,,,,,,,,
Menagerie ,Cornucopia ,Action,,+1 Action,1,"+1, !+2",,,,,,,
,,,,"Reveal your hand. If the revealed cards all have different names, +3 Cards. Otherwise, +1 Card.",,,,,,,,,
